Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Fraud,16794,4,110.0,259.7319791732715,1.3869169997633435,9524.14808300091,51.717518161248066,609.6416572495183,0.14520463433357586,110,170,180,210,260,300,370,9200,9500,9500,9500
,Aggregated,16794,4,110.0,259.7319791732715,1.3869169997633435,9524.14808300091,51.717518161248066,609.6416572495183,0.14520463433357586,110,170,180,210,260,300,370,9200,9500,9500,9500
