Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Fraud,67804,0,120.0,126.34454054301877,4.224457999953302,937.0663339977909,50.73448469116866,2319.648542496768,0.0,120,140,150,160,180,210,360,390,700,850,940
,Aggregated,67804,0,120.0,126.34454054301877,4.224457999953302,937.0663339977909,50.73448469116866,2319.648542496768,0.0,120,140,150,160,180,210,360,390,700,850,940
